cpf;nome paciente;email paciente;data nascimento paciente;endereço/rua paciente;cidade paciente;estado patiente;crm médico;crm médico estado;nome médico;email médico;token resultado exame;data exame;tipo exame;limites tipo exame;resultado tipo exame
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;plaquetas;11-93;2
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;hdl;19-75;7
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;ldl;45-54;73
009.898.217-65;João Guilherme Palmeira;hermelinda.swaniawski@klocko.biz;1961-06-01;9731 Viela Arthur Pereira;Barra de São Francisco;Paraíba;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;7Y35FE;2021-07-16;vldl;48-72;82
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;hemácias;45-52;13
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;leucócitos;9-61;80
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;plaquetas;11-93;28
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;hdl;19-75;91
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;ldl;45-54;67
027.989.952-13;Deneval Caseira;bonny.pagac@huel.name;1967-02-13;4514 Avenida Manuela Hermingues;Borá;Distrito Federal;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;EDSRDE;2021-08-04;vldl;48-72;82
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;hemácias;45-52;87
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;leucócitos;9-61;60
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;plaquetas;11-93;2
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;hdl;19-75;53
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;ldl;45-54;41
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;SHURZ5;2022-01-05;vldl;48-72;33
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;hemácias;45-52;97
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;leucócitos;9-61;6
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;plaquetas;11-93;18
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;hdl;19-75;56
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;ldl;45-54;88
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;vldl;48-72;30
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;glicemia;25-83;6
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;tgo;50-84;41
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;tgp;38-63;100
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;eletrólitos;2-68;11
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;tsh;25-80;79
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;t4-livre;34-60;39
019.338.696-82;Vitor Hugo Gomes Neto;leona@bahringer.net;1978-01-26;s/n Marginal Eloah Dantas;Serra Negra do Norte;Santa Catarina;B0002W2RBG;CE;Dra. Isabelly Rêgo;diann_klein@schinner.org;Z95COQ;2021-04-29;ácido úrico;15-61;52
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;hemácias;45-52;1
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;leucócitos;9-61;97
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;plaquetas;11-93;1
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;hdl;19-75;83
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;ldl;45-54;67
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;vldl;48-72;82
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;glicemia;25-83;25
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;tgo;50-84;44
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;tgp;38-63;15
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;eletrólitos;2-68;9
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;tsh;25-80;3
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;t4-livre;34-60;23
013.888.116-26;Giovanna Rêgo;jefferson_renner@schulist.com;2000-04-16;s/n Marginal Júlia Paiva;Eliseu Martins;Roraima;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;F6SPTX;2021-10-29;ácido úrico;15-61;73
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;hemácias;45-52;3
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;leucócitos;9-61;10
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;plaquetas;11-93;29
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;hdl;19-75;92
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;ldl;45-54;49
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;vldl;48-72;53
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;glicemia;25-83;47
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;tgo;50-84;50
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;tgp;38-63;71
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;eletrólitos;2-68;74
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;tsh;25-80;23
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;t4-livre;34-60;36
083.892.729-70;João Samuel Garcês;madonna@gerhold-bode.io;1967-07-06;s/n Rua Bento;Taubaté;Pará;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;P5T1PT;2021-08-10;ácido úrico;15-61;22
052.041.078-51;Sra. Meire da Terra;lavinia@bartoletti.co;1968-06-21;230 Rua Eduarda;Rio Fortuna;Maranhão;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;NIG0TP;2022-01-08;hemácias;45-52;17
052.041.078-51;Sra. Meire da Terra;lavinia@bartoletti.co;1968-06-21;230 Rua Eduarda;Rio Fortuna;Maranhão;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;NIG0TP;2022-01-08;leucócitos;9-61;64
052.041.078-51;Sra. Meire da Terra;lavinia@bartoletti.co;1968-06-21;230 Rua Eduarda;Rio Fortuna;Maranhão;B0002IQM66;SC;Maria Helena Ramalho;rayford@kemmer-kunze.info;NIG0TP;2022-01-08;plaquetas;11-93;38
073.372.599-64;Liz Rios Neto;bernarda_beer@emard.org;1965-11-17;s/n Viela Thiago da Cunha;Ibitiara;Rondônia;B000HB2O2O;ES;Núbia Godins;christy_dickinson@langworth.org;0DJ575;2021-12-29;ácido úrico;15-61;4
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;vldl;48-72;28
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;glicemia;25-83;98
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;tgo;50-84;2
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;tgp;38-63;32
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;eletrólitos;2-68;41
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;tsh;25-80;89
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;t4-livre;34-60;18
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B0002W2RBG;SP;Dra. Isabelly Rêgo;diann_klein@schinner.org;1TF4I1;2021-10-02;ácido úrico;15-61;79
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;00S0MD;2022-03-03;hemácias;45-52;45
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;00S0MD;2022-03-03;leucócitos;9-61;82
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;00S0MD;2022-03-03;plaquetas;11-93;25
099.204.552-53;Ladislau Duarte;lisha@rosenbaum.org;1981-02-02;s/n Marginal Pietro;Peritiba;Rio Grande do Norte;B000BJ8TIA;PR;Ana Sophia Aparício Neto;corene.hane@pagac.io;00S0MD;2022-03-03;hdl;19-75;0
